address,solution_found
0xd54ba55e1817ae8928455ac3679596bd33e80a38,PUSH 1 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 DUP2 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 20 MSTORE DUP3 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 SLOAD PUSH0 NOT DUP2 EQ PUSH [tag] 94
0xd54ba55e1817ae8928455ac3679596bd33e80a38,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 7dc7a0d9 PUSH e1 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP6 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE
0xd54ba55e1817ae8928455ac3679596bd33e80a38,PUSH 1 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP6 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 20 MSTORE DUP4 AND PUSH0 MSTORE DUP2 PUSH 40 PUSH0 KECCAK256 SSTORE DUP1 ISZERO PUSH [tag] 94
0xd54ba55e1817ae8928455ac3679596bd33e80a38,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 391434e3 PUSH e2 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE PUSH [tag] 92
0xdD66BE6DbEdD217E81d2bf19C163714B14D7fB83,DUP1 DUP3 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP4 AND SWAP1 PUSH 70a08231 SWAP1 PUSH 40 MLOAD DUP1 PUSH 24 ADD SWAP2 DUP4 PUSH e0 SHL DUP3 MSTORE DUP11 AND SWAP1 PUSH 4 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0xdD66BE6DbEdD217E81d2bf19C163714B14D7fB83,DUP3 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP4 AND SWAP1 PUSH dd62ed3e SWAP1 PUSH 40 MLOAD DUP1 PUSH 44 ADD SWAP2 PUSH 6eb1769f PUSH e1 SHL DUP3 MSTORE DUP11 AND DUP2 PUSH 4 ADD MSTORE ADDRESS SWAP1 PUSH 24 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0xdD66BE6DbEdD217E81d2bf19C163714B14D7fB83,PUSH0 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP4 AND SWAP1 PUSH 23b872dd SWAP1 PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP2 DUP4 PUSH e0 SHL DUP3 MSTORE DUP11 DUP2 AND DUP3 PUSH 4 ADD MSTORE DUP10 AND DUP2 PUSH 24 ADD MSTORE DUP8 SWAP1 PUSH 44 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8
0xdA4395A30c5Da45A785d1870206ab6c7De6e12aE,DUP2 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH f8ba4cff PUSH 40 MLOAD DUP1 PUSH 4 ADD SWAP1 DUP3 PUSH e0 SHL SWAP1 MSTORE PUSH0 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8 DUP1 EXTCODESIZE ISZERO DUP1 ISZERO PUSH [tag] 47
0xdA4395A30c5Da45A785d1870206ab6c7De6e12aE,POP POP POP POP PUSH0 DUP3 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH e06174e4 PUSH 40 MLOAD DUP1 PUSH 4 ADD SWAP1 DUP3 PUSH e0 SHL SWAP1 MSTORE PUSH 280 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0xdA4395A30c5Da45A785d1870206ab6c7De6e12aE,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 26 DUP2 PUSH 24 ADD MSTORE PUSH 4f776e61626c653a206e6577206f776e657220697320746865207a65726f2061 DUP2 PUSH 44 ADD MSTORE PUSH 646472657373 PUSH d0 SHL SWAP1 PUSH 64 ADD MSTORE PUSH [tag] 98
